Classe,Relacao,Classe,Identificador
woman,wears,shirt,3845770407
woman,wears,watch,3845770407
woman,wears,shorts,3845770407
woman,wears,sneakers,3845770407
woman,on,grass,3845770407
woman,is wearing,earring,3845770407
woman,is standing on,grass,3845770407
woman,has,hair,3845770407
woman,in front of,woman,3845770407
woman,in front of,tree,3845770407
woman,next to,car,3845770407
woman,is wearing,shirt,3845770407
frisbee,between,hands,3845770407
frisbee,is above,grass,3845770407
frisbee,is above,sneakers,3845770407
streetlamp,next to,car,3845770407
streetlamp,in front of,building,3845770407
vehicle,is behind,tree,3845770407
vehicle,is behind,woman,3845770407
tree,is in front of,vehicle,3845770407
tree,is behind,woman,3845770407
balloon,in front of,balloon,3845770407
balloon,in front of,building,3845770407
balloon,in front of,balloon,3845770407
boy,holding,racket,6279585054
boy,wearing,red shirt,6279585054
boy,in front of,fence,6279585054
boy,has,ears,6279585054
boy,is to the left of,balls,6279585054
boy,wearing,shirt,6279585054
boy,standing next to,basket,6279585054
boy,has,eye,6279585054
boy,has,nose,6279585054
boy,has,mouth,6279585054
boy,has,ear,6279585054
boy,has,elbow,6279585054
boy,has,chin,6279585054
racket,has,handle,6279585054
balls,on top of,racket,6279585054
balls,in front of,boy,6279585054
racket,in,basket,6279585054
basket,has,sign,6279585054
fence,is behind,boy,6279585054
wall,behind,boy,6279585054
balls,in,basket,6279585054
tennis balls,on,racket,6279585054
shirt,on,boy,6279585054
nose,above,mouth,6279585054
sign,has,text,6279585054
tree,in,pot,2584263186
tree,next to,cup,2584263186
plant,between,chairs,2584263186
tree,in,room,2584263186
pot,between,chairs,2584263186
pot,next to,cup,2584263186
chairs,in,room,2584263186
chairs,on top of,floor,2584263186
cup,next to,chairs,2584263186
cup,on,floor,2584263186
cup,beside,chair,2584263186
broom,on,floor,2584263186
floor,under,chairs,2584263186
signs,above,counter,2584263186
menu,on,wall,2584263186
counter,behind,chairs,2584263186
chair,next to,pot,2584263186
chair,next to,cup,2584263186
chair,in front of,signs,2584263186
papers,on,chair,2584263186
papers,next to,tree,2584263186
papers,on,seat,2584263186
dad,has,head,4418514401
dad,hugs,son,4418514401
dad,has,hat,4418514401
dad,has,glasses,4418514401
dad,has,face,4418514401
head,has,glasses,4418514401
son,with,man,4418514401
hat,on,man,4418514401
glasses,covering,eyes,4418514401
glasses,on,man,4418514401
face,has,eyes,4418514401
man,showing,teeth,4418514401
man,wearing,hat,4418514401
man,wearing,jacket,4418514401
man,wearing,jacket,4418514401
man,holding,son,4418514401
man,standing behind,boy,4418514401
man,wearing,glasses,4418514401
man,wears,glasses,4418514401
boy,in front of,man,4418514401
boy,wearing,jacket,4418514401
computer,on,table,8329270
mouse,on,table,8329270
table,on,rug,8329270
table,has,mouse,8329270
water,in,bottle,8329270
magazines,on,table,8329270
calculator,on,table,8329270
plant,in front of,window,8329270
plant,in front of,wall,8329270
outlet,in,wall,8329270
chair,in front of,table,8329270
hole punch,on,table,8329270
cap,on,bottle,8329270
laptop,on,table,8329270
laptop,has,keyboard,8329270
laptop,has,mousepad,8329270
laptop,contains,mousepad,8329270
keyboard,on,laptop,8329270
keyboard,attached to,laptop,8329270
laptop,on,table,4150090398
laptop,in front of,railing,4150090398
laptop,right of,ashtray,4150090398
laptop,below,clouds,4150090398
laptop,below,sky,4150090398
laptop,to the right of,ashtray,4150090398
table,under,laptop,4150090398
table,in front of,railing,4150090398
